Sample,BACT,NA0,NA1,NA2,NA3,NA4,NA5
Background ice,5.61,1.02,0.69,1.08,1.92,0.45,0.45
Background ice,1.77,0.39,0.69,0.33,0.21,0.09,0.06
Background ice,25.47,2.01,2.64,6.39,10.08,3.3,1.05
Background ice,9.84,0.99,0.78,2.52,3.48,1.56,0.51
Background ice,33.03,0.87,1.38,6.06,14.52,5.04,5.19
Background ice,124.26,1.77,2.16,18.3,69.27,17.28,15.51
Background ice,23.94,3.6,2.37,5.49,7.41,3.66,1.41
Background ice,1.56,0.3,0.24,0.45,0.39,0.18,0
Blank-mir,31.29,24.59,4.94,1.47,0.24,0.04,0.03
Blank-mir,12.37,4.34,2.76,3.96,1.16,0.16,0.02
Blank-mir,21.6,5.47,5,7.47,2.67,0.8,0.33
Blank-mir,18.74,5.6,3.4,6.27,2.4,0.73,0.33
Ice block,17.4,2.49,4.02,2.76,4.74,2.19,1.23
Ice block,15.17,4.14,3.87,3.06,2.76,0.99,0.36
Water,1135.81,159.9,291.36,380.43,153.39,100.5,54.99
Water,330.66,49.65,51.69,100.2,82.83,33.39,13.74
Water,328.86,45.06,49.44,101.19,86.43,35.61,11.82
Water,493.53,65.64,134.88,172.74,74.04,30.15,17.58
Water,424.77,42.12,110.58,168.72,66.84,24.6,13.17
Water,173.5,26.43,62.88,54.93,21.9,5.28,2.58
Water,89.11,10.84,34.64,29.76,10.24,2.87,1.02
Water,90.6,6.96,11.67,44.07,18.99,6.72,2.31
Water,65.04,4.65,6.96,30.45,14.82,6,2.16
Water,18.99,1.11,4.35,9.6,2.64,0.84,0.6
Water,3.99,0.36,0.96,1.71,0.63,0.21,0.12
Water,23.85,1.98,6.03,10.2,3.54,1.26,0.87
Water,34.11,1.38,4.59,20.43,4.92,1.65,1.38
Water,48.93,3.48,5.64,28.86,8.82,1.35,0.87
Water,35.4,2.25,13.05,13.86,5.13,1.23,0.21
Water,57.36,2.88,6.12,32.19,10.74,3.72,1.86
Water,54.06,3.48,5.22,30.06,10.83,2.79,1.77
Water,220.86,8.76,40.32,125.28,30.27,12.9,4.26
Water,78.21,3.18,11.46,36.99,15.81,7.89,3.33
Water,830.74,127,213.87,265.47,105.8,79.33,42.27